PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
SURF PLAYGROUND,0.933,0.003777328,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
BERGEN BEACH PLAYGROUND,0.927,0.003753036,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TIGER PLAYGROUND,0.926,0.003748988,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ATHENS SQUARE,0.925,0.003744939,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ROCK GARDEN PARK,0.92,0.003724696,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
P.S. 279 PLAYGROUND,0.92,0.003724696,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SAW MILL PLAYGROUND,0.92,0.003724696,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,0,0,1
HOUSTON PLAYGROUND,0.918,0.003716599,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,1,0,0,0,0,0,1
BARTLETT PLAYGROUND,0.918,0.003716599,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WHITE PLAYGROUND STATEN ISLAND,0.918,0.003716599,PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
LIVONIA PARK,0.918,0.003716599,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
VIRGINIA PARK,0.918,0.003716599,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ALBEMARLE PLAYGROUND,0.918,0.003716599,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BOERUM PARK,0.918,0.003716599,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
PRATT PLAYGROUND,0.918,0.003716599,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DITMARS PARK,0.918,0.003716599,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CARTER G. WOODSON CHILDREN'S PARK,0.918,0.003716599,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NEWPORT PLAYGROUND,0.918,0.003716599,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EDMONDS PLAYGROUND,0.917,0.003712551,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GARDEN PLAYGROUND,0.915,0.003704453,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,1,0,0,0,0,0,1
MARTIN LUTHER PLAYGROUND,0.913,0.003696356,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
PONTIAC PLAYGROUND,0.913,0.003696356,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,1,0,0,0,0,1
AESOP PARK,0.912,0.003692308,PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SLATTERY PLAYGROUND,0.911,0.003688259,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BAY TERRACE PLAYGROUND,0.91,0.003684211,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WILLOUGHBY PLAYGROUND,0.907,0.003672065,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
ESTELLA DIGGS PARK,0.903,0.00365587,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,0,0,1
WASHINGTON HALL PARK,0.901,0.003647773,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HARLEM RBI,0.9,0.003643725,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
STARR PLAYGROUND,0.9,0.003643725,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HART PLAYGROUND ON BROADWAY,0.896,0.00362753,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
AMERICAN PLAYGROUND,0.896,0.00362753,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ARROCHAR PLAYGROUND,0.892,0.003611336,PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SOL LAIN PLGD,0.891,0.003607287,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
EL SHABAZZ PLAYGROUND,0.89,0.003603239,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PINOCCHIO PLAYGROUND,0.888,0.003595142,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ALICE KORNEGAY TRIANGLE,0.883,0.003574899,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,1,0,0,1
PETER'S FIELD,0.882,0.00357085,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BEDFORD PLAYGROUND,0.881,0.003566802,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HAROLD SCHNEIDERMAN PLAYGROUND,0.878,0.003554656,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WAKEFIELD PLAYGROUND,0.877,0.003550607,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
QUEENS VALLEY PLAYGROUND,0.876,0.003546559,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
LT. JOSEPH PETROSINO PARK,0.871,0.003526316,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EVERGREEN PLAYGROUND,0.87,0.003522267,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PLAYGROUND 286,0.868,0.00351417,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BARRIER PLAYGROUND,0.867,0.003510121,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,2,0,2
LION'S PRIDE PLAYGROUND,0.865,0.003502024,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NATHAN STRAUS PLAYGROUND,0.851,0.003445344,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SCHENCK PLAYGROUND,0.847,0.00342915,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HAVILAND PLAYGROUND,0.84,0.00340081,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
SOL BLOOM PLAYGROUND,0.837,0.003388664,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
P.S. 155 PLAYGROUND,0.834,0.003376518,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
STEBBINS PLAYGROUND,0.83,0.003360324,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
OPEN ROAD PARK,0.828,0.003352227,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DI GILIO PLAYGROUND,0.826,0.00334413,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HART PLAYGROUND ON 147 ST,0.821,0.003323887,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FLYNN PLAYGROUND,0.82,0.003319838,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HIGHBRIDGE PARK BRONX SIDE,0.82,0.003319838,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
FISHER POOL,0.817,0.003307692,POOL & RECREATION CENTER LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
PARKSIDE PLAYGROUND BRONX,0.817,0.003307692,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ALEXANDER HAMILTON PLAYGROUND,0.811,0.003283401,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
WEST FARMS RAPIDS,0.81,0.003279352,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BELLAIRE PLAYGROUND,0.809,0.003275304,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,1,0,0,0,0,0,0,1
STEINWAY PLAYGROUND,0.809,0.003275304,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RISSE STREET PARK,0.806,0.003263158,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ETHAN ALLEN PLAYGROUND,0.8,0.003238866,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
KENNEDY KING PLAYGROUND,0.79,0.003198381,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EUGENE MCCABE FIELD,0.789,0.003194332,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
VLADECK PARK,0.789,0.003194332,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SAMUEL SEABURY PLAYGROUND,0.786,0.003182186,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SPIRIT PLAYGROUND,0.786,0.003182186,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MORGAN PLAYGROUND,0.782,0.003165992,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MOORE PLAYGROUND,0.766,0.003101215,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
FIRST PARK,0.763,0.003089069,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SGT. WILLIAM DOUGHERTY PLAYGROUND,0.76,0.003076923,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
ADMIRAL PARK,0.759,0.003072874,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JAIME CAMPIZ PLAYGROUND,0.752,0.003044534,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SAMUEL N. BENNERSON 2ND PLAYGROUND,0.749,0.003032389,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PLAYGROUND SEVENTY FIVE,0.749,0.003032389,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WEBSTER PLAYGROUND,0.744,0.003012146,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,1,0,1
FROST PLAYGROUND,0.739,0.002991903,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TECUMSEH PLAYGROUND,0.738,0.002987854,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
RAILROAD PARK BRONX,0.732,0.002963563,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,0,0,1
NATHAN WEIDENBAUM PARK,0.732,0.002963563,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BLUEBERRY PARK,0.724,0.002931174,PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CLARK PLAYGROUND,0.722,0.002923077,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HUNTS POINT PLAYGROUND,0.717,0.002902834,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,0,0,1
GUN HILL PLAYGROUND,0.716,0.002898785,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BLOOMINGDALE PLAYGROUND,0.715,0.002894737,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GALILEO PLAYGROUND,0.714,0.002890688,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
I-AM-PARK,0.712,0.002882591,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
UNNAMED PARK ON 17TH STREET,0.711,0.002878543,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LINWOOD PLAYGROUND,0.705,0.002854251,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LAFAYETTE GARDENS PLAYGROUND,0.705,0.002854251,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NEWTOWN PLAYGROUND,0.703,0.002846154,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ORACLE PLAYGROUND,0.703,0.002846154,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
MOUNT HOPE PLAYGROUND,0.7,0.002834008,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,1,0,0,0,0,1
GARRISON PLAYGROUND,0.696,0.002817814,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
GERTRUDE EDERLE RECREATION CENTER,0.69,0.002793522,POOL & RECREATION CENTER LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SLOPE PARK,0.689,0.002789474,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FRED SAMUEL PLAYGROUND,0.688,0.002785425,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,1,0,1,0,2
AUBURNDALE PLAYGROUND,0.686,0.002777328,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WHITE PLAYGROUND MANHATTAN,0.684,0.002769231,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DAWSON PLAYGROUND,0.681,0.002757085,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MAPES POOL,0.68,0.002753036,PLAYGROUND & POOL LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
LILLIAN D WALD PLAYGROUND,0.68,0.002753036,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
HOWARD POOL,0.67,0.002712551,POOL LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
RIVER AVENUE PARKS,0.67,0.002712551,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,2,0,0,0,2
ST. NICHOLAS PLAYGROUND SOUTH,0.67,0.002712551,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CANAL PARK,0.669,0.002708502,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
RIVERBEND PLAYGROUND,0.661,0.002676113,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ST. NICHOLAS PLAYGROUND NORTH,0.66,0.002672065,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
COLLEGE POINT PARK,0.659,0.002668016,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
THE PEARLY GATES,0.659,0.002668016,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
AUDUBON PLAYGROUND,0.656,0.00265587,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
COURTNEY CALLENDER PLAYGROUND,0.653,0.002643725,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BRIZZI PLAYGROUND,0.649,0.00262753,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
AUGUSTUS ST. GAUDENS PLAYGROUND,0.642,0.00259919,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
VESUVIO PLAYGROUND,0.635,0.00257085,BASKETBALL & POOL LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
VETERANS GROVE,0.626,0.002534413,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,2,1,0,0,0,3
SQUIBB PARK,0.626,0.002534413,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ELTON PLAYGROUND,0.622,0.002518219,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TWENTY-FOUR SYCAMORES PARK,0.622,0.002518219,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
EAST RIVER ESPLANADE AT E 36TH ST AND FDR,0.62,0.002510121,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CEDAR GROVE PLAYGROUND,0.619,0.002506073,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BEACH 59TH ST PLAYGROUND,0.618,0.002502024,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
CLEOPATRA PLAYGROUND,0.618,0.002502024,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HALF-NELSON PLAYGROUND,0.61,0.002469636,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HENRY M. JACKSON PLAYGROUND,0.61,0.002469636,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BRIDGE PLAYGROUND,0.61,0.002469636,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,1,0,0,1
WILLIAM F. PASSANNANTE BALLFIELD,0.607,0.00245749,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DR. RONALD E. MCNAIR PLAYGROUND,0.603,0.002441296,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,1,0,0,0,0,1
PENN SOUTH PLAYGROUND,0.6,0.00242915,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
O'NEILL TRIANGLE,0.593,0.00240081,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
GEORGE WALKER JR. PARK,0.591,0.002392713,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,2,0,0,1,0,0,0,3
UNDERHILL PLAYGROUND,0.59,0.002388664,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PETER DETMOLD PARK,0.588,0.002380567,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
COBBLE HILL PARK,0.585,0.002368421,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WRIGHT BROTHERS PLAYGROUND,0.584,0.002364372,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,2,0,0,0,0,2
MERCER PLAYGROUND,0.582,0.002356275,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SEAN'S PLACE,0.582,0.002356275,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HARVARD PLAYGROUND,0.581,0.002352227,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SARSFIELD PLAYGROUND,0.579,0.00234413,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HELL'S KITCHEN PARK,0.576,0.002331984,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
RORY STAUNTON FIELD,0.574,0.002323887,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BENNINGER PLAYGROUND,0.574,0.002323887,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CARMANSVILLE PLAYGROUND,0.573,0.002319838,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SIXTEEN SYCAMORES PLAYGROUND,0.567,0.002295547,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GALAPO PLAYGROUND,0.565,0.002287449,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MCKINLEY PLAYGROUND,0.563,0.002279352,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ENNIS PLAYGROUND,0.554,0.002242915,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BLAND PLAYGROUND,0.551,0.002230769,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GUTENBERG PLAYGROUND,0.551,0.002230769,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PFC NORTON PLAYGROUND,0.55,0.002226721,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LITTLE CLAREMONT PARK,0.549,0.002222672,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
JUNCTION PLAYGROUND,0.54,0.002186235,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WOODRUFF PLAYGROUND,0.536,0.00217004,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ABIGAIL PLAYGROUND,0.529,0.0021417,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
WALD PLAYGROUND,0.525,0.002125506,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DR. GERTRUDE B. KELLY PLAYGROUND,0.525,0.002125506,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ANDREWS GROVE,0.518,0.002097166,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ANIBAL AVILES PLAYGROUND,0.517,0.002093117,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
